policy,mode,domain,structure,label,tp,fp,fn,precision,recall,f1
minimal,regex,HR-Dokumente,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,regular,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,regular,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,structured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,structured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,unstructured,E_MAIL,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Supporttickets,unstructured,TELEFON,2,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,regular,STRASSE,4,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,structured,IBAN,1,0,0,1.000000,1.000000,1.000000
minimal,regex,Verträge,structured,STRASSE,5,0,1,1.000000,0.833333,0.909091
minimal,regex,Verträge,unstructured,STRASSE,4,0,0,1.000000,1.000000,1.000000
